                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6342,                 3.6023,                 2.7544,                      0,                      0,                      0,                      0,                 4.8518,                 12.298,                 3.7322,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.3393,                 3.3304,                 2.5077,                0.00333,                      1,                  0.995,                 0.4225,                 1.4405,                 3.8093,                  1.453,             0.00021891,             0.00021891,             0.00021891
                      3,                 1.9501,                  2.682,                 2.0652,                0.00333,                      1,                0.12674,                0.05018,                 2.9539,                  4.292,                 1.9074,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.9041,                 2.6865,                 2.0237,                0.00333,                      1,                0.82833,                 0.2772,                 1.5612,                 4.2855,                 1.5718,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.7425,                  2.524,                 1.8921,                0.00333,                      1,                0.66333,                0.21967,                 2.5331,                 4.3514,                 1.8313,             0.00056852,             0.00056852,             0.00056852
                      6,                  1.746,                 2.6657,                 1.8862,                0.00333,                      1,                  0.995,                0.31063,                 1.8594,                 3.1526,                 1.6205,             0.00068267,             0.00068267,             0.00068267
                      7,                 1.7218,                 2.2291,                 1.8329,                0.10115,                      1,                  0.995,                0.49654,                 1.7143,                 3.6027,                 1.4262,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.7117,                 2.2602,                 1.7915,                0.04577,                      1,                0.19518,                0.07393,                 2.5944,                  3.476,                 2.7051,             0.00090743,             0.00090743,             0.00090743
                      9,                 1.7561,                 2.3162,                 1.8613,                0.27727,                    0.5,                0.16542,                0.03472,                 3.3621,                 4.0853,                 3.8436,               0.001018,               0.001018,               0.001018
                     10,                 1.6155,                 2.1051,                 1.7639,                0.00333,                      1,                0.05849,                0.01355,                 3.5115,                 4.3474,                 3.9299,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.6203,                 2.2749,                 1.7089,                0.30153,                    0.5,                0.31417,                 0.0386,                 3.0608,                 4.0076,                 3.8826,              0.0012357,              0.0012357,              0.0012357
                     12,                 1.6797,                 2.0787,                 1.7807,                0.43711,                    0.5,                0.31417,                0.04144,                 2.9918,                 5.4509,                 4.8019,              0.0013427,              0.0013427,              0.0013427
                     13,                 1.6276,                 1.9877,                 1.7431,                0.00167,                    0.5,                0.00639,                0.00128,                  3.827,                 7.4175,                 3.7761,              0.0014485,              0.0014485,              0.0014485
                     14,                 1.6727,                 2.0701,                 1.7406,                0.02088,                    0.5,                 0.0181,                0.00202,                 3.8869,                 10.124,                 4.6917,              0.0015532,              0.0015532,              0.0015532
                     15,                 1.6561,                 2.0279,                 1.7669,                0.00167,                    0.5,                0.00189,                0.00034,                 3.6499,                 7.8131,                 4.0088,              0.0016566,              0.0016566,              0.0016566
                     16,                 1.6444,                 1.9933,                 1.7293,                0.40845,                    0.5,                0.49543,                0.05666,                 3.8833,                 11.477,                 7.4011,              0.0017589,              0.0017589,              0.0017589
